gene,I24C,I24N,I27C,I27N,I29C,I29N
ENSG00000006530,909,371,454,346,633,453
ENSG00000006534,190,439,654,333,522,289
ENSG00000006555,268,2732,841,1290,671,704
ENSG00000006576,559,543,299,443,510,140
ENSG00000006606,4,3,2,3,82,16
ENSG00000006607,1289,2174,1100,1305,1684,557
ENSG00000006611,2241,4175,2148,1796,2301,4372
ENSG00000006625,5081,938,1205,886,1738,1028
ENSG00000006634,777,392,246,209,685,308
ENSG00000006638,11,8,8,8,24,5
ENSG00000006652,1259,915,863,810,882,762
ENSG00000006659,4,0,0,0,0,4
ENSG00000006695,269,399,327,412,332,410
ENSG00000006704,1104,88,1129,120,453,96
ENSG00000006712,733,771,675,632,742,512
ENSG00000006715,2621,1311,802,1017,1179,1510
ENSG00000006740,118,1212,347,991,317,437
ENSG00000006744,954,785,839,738,1081,659
ENSG00000006747,32,3955,1473,2469,979,1499
ENSG00000006756,557,1336,1121,977,1903,754
ENSG00000006757,428,307,299,242,270,638
ENSG00000006788,2,0,10,3,2,1
ENSG00000006831,2144,3328,2819,2566,2219,1554
ENSG00000006837,9,5,4,6,3,13
ENSG00000007001,1,1,0,0,1,0
ENSG00000007038,0,13,5,4,289,1
ENSG00000007047,321,138,261,172,279,63
ENSG00000007062,641,2183,5474,2480,10204,1105
ENSG00000007080,937,568,810,539,610,486
ENSG00000007129,13,38,11,34,54,20
ENSG00000007168,2341,3209,2235,2667,2398,1417
ENSG00000007171,39,582,1988,99,3589,185
ENSG00000007174,9,58,3,7,13,4
ENSG00000007202,3870,3244,2182,2488,3358,2766
ENSG00000007216,44,1048,208,369,108,1096
ENSG00000007237,224,318,190,308,225,197
ENSG00000007255,550,289,273,247,414,555
ENSG00000007264,12,89,24,53,31,25
ENSG00000007306,1354,144819,47170,102622,11357,147863
ENSG00000007312,22,863,91,148,161,107
ENSG00000007314,1,7,0,0,1,2
ENSG00000007341,237,211,254,161,223,186
ENSG00000007350,4,4,0,1,3,4
ENSG00000007372,1,32,90,9,15,21
ENSG00000007376,360,316,402,306,412,397
ENSG00000007384,624,576,377,389,627,374
ENSG00000007392,645,609,999,405,963,244
ENSG00000007402,26,24,52,49,384,22
ENSG00000007516,22,79,61,79,102,56
ENSG00000007520,648,613,620,535,631,1143
ENSG00000007541,492,390,457,303,769,228
ENSG00000007545,442,369,227,175,997,55
ENSG00000007866,947,708,481,465,907,249
ENSG00000007908,187,17,17,3,26,2
ENSG00000007923,871,1567,1037,1415,1361,1216
ENSG00000007933,11,3,18,14,49,2
ENSG00000007944,695,503,338,370,680,424
ENSG00000007952,6666,3188,2297,2214,3363,3312
ENSG00000007968,108,436,170,231,318,85
ENSG00000008018,5897,2800,2727,2218,2720,4281
ENSG00000008056,63,7,36,7,17,1
ENSG00000008083,790,299,464,275,526,85
ENSG00000008086,380,145,162,129,365,62
ENSG00000008118,13,3,1,0,5,1
ENSG00000008128,433,899,589,530,1493,350
ENSG00000008130,1204,2578,1335,1505,2145,1337
ENSG00000008196,0,0,0,0,0,0
ENSG00000008197,0,0,0,0,0,0
ENSG00000008226,12,27,21,29,76,9
